,All natural disasters (Occurrence),Drought (Occurrence),Earthquake (Occurrence),Extreme temperature (Occurrence),Extreme weather (Occurrence),Flood (Occurrence),Impact (Occurrence),Landslide (Occurrence),Mass movement (dry) (Occurrence),Volcanic activity (Occurrence),Wildfire (Occurrence),LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1947,12.0,1.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,8.797083333333333,0.2170833333333333,14.562500000000002,0.21766666666666665,2.9645833333333336,0.2480833333333334,15.31016666666667,0.12875000000000003,15.165833333333333,0.7666666666666667,1.4216666666666669,22.325,2.3366666666666664,169.84416666666667,8.574166666666668,15.876666666666665,11.173333333333334
1948,23.0,0.0,5.0,0.0,10.0,5.0,0.0,2.0,0.0,1.0,0.0,8.74675,0.20958333333333332,14.615583333333335,0.23324999999999999,2.9154166666666668,0.23758333333333334,15.261166666666668,0.12850000000000003,15.532499999999999,0.8675,1.925833333333333,24.041666666666668,2.3808333333333334,161.35333333333332,9.014166666666666,19.993333333333336,10.654166666666667
1949,20.0,0.0,6.0,0.0,8.0,2.0,0.0,1.0,0.0,2.0,1.0,8.586749999999999,0.20824999999999996,14.414666666666664,0.22066666666666665,2.8021666666666665,0.24216666666666667,15.22275,0.10741666666666667,15.230000000000002,1.0275,2.37,23.808333333333334,2.314166666666667,159.83333333333334,10.783333333333333,24.86916666666667,9.901666666666666
1950,23.0,0.0,4.0,0.0,7.0,10.0,0.0,1.0,0.0,1.0,0.0,8.365250000000001,0.18633333333333335,14.17375,0.21516666666666664,2.578583333333333,0.23275,15.1395,0.10233333333333333,18.399999999999995,1.265,2.5741666666666667,24.066666666666666,2.4341666666666666,190.90166666666667,13.115833333333335,26.696666666666662,11.1825
1951,27.0,0.0,3.0,2.0,11.0,7.0,0.0,1.0,0.0,3.0,0.0,8.625666666666666,0.18416666666666667,14.43016666666667,0.2021666666666667,2.7356666666666665,0.20675,15.311166666666665,0.09891666666666665,22.334999999999997,1.5075,2.6583333333333337,25.958333333333332,2.620833333333333,214.92416666666665,14.512500000000001,25.60166666666667,12.008333333333335
1952,24.0,0.0,8.0,0.0,10.0,4.0,0.0,1.0,0.0,1.0,0.0,8.638250000000001,0.20875000000000002,14.462583333333335,0.21225000000000002,2.820166666666666,0.2224166666666667,15.363083333333334,0.10166666666666667,24.497500000000002,1.4324999999999994,2.3783333333333334,26.549999999999997,2.749166666666667,230.49666666666664,13.479999999999999,22.381666666666664,12.454166666666667
1953,34.0,0.0,7.0,3.0,11.0,12.0,0.0,0.0,0.0,1.0,0.0,8.873750000000001,0.21208333333333332,14.639249999999999,0.2024166666666666,3.1076666666666664,0.2255,15.421083333333334,0.10225,24.731666666666666,1.4216666666666666,2.4908333333333332,26.766666666666666,2.839166666666667,230.88500000000002,13.269166666666665,23.2475,12.000833333333333
1954,33.0,0.0,5.0,0.0,10.0,9.0,0.0,8.0,0.0,1.0,0.0,8.560666666666666,0.18716666666666662,14.286583333333333,0.19133333333333336,2.865833333333333,0.19175000000000006,15.230583333333335,0.09533333333333333,29.689166666666665,1.4749999999999999,2.620833333333333,26.849999999999998,2.401666666666667,276.3025,13.725000000000001,24.388333333333335,13.665
1955,30.0,0.0,4.0,1.0,19.0,3.0,0.0,2.0,1.0,0.0,0.0,8.62625,0.15358333333333332,14.329083333333331,0.17958333333333332,2.8614166666666674,0.18783333333333332,15.174333333333335,0.0880833333333333,40.49333333333333,1.5891666666666666,3.2391666666666663,26.775000000000002,2.8166666666666664,377.7616666666667,14.828333333333333,30.218333333333334,17.52416666666667
1956,36.0,0.0,6.0,0.0,14.0,9.0,0.0,5.0,0.0,1.0,1.0,8.279583333333333,0.1208333333333333,14.023666666666664,0.16183333333333333,2.56175,0.20350000000000001,15.106,0.07966666666666664,46.623333333333335,1.7691666666666663,3.5574999999999997,27.183333333333337,3.1824999999999997,428.5183333333334,16.258333333333336,32.70916666666667,18.25916666666667
